承辦單位,研究計畫名稱,研究計畫摘要概述,研究計畫期間,"研究經費
（元）",目前執行進度,研究方式
經濟發展處,嘉義縣溪口鄉地區經濟振興方案委託規劃案,"1.多元發展振興經濟：藉由計畫的實施，並串聯溪口?現有資源，透過產業創新與加值、輔導改善各項觀光及地區性機能(如餐飲、住宿及其他服務業)，以提升地方產業結盟機會，振興地方經濟。
2.明確計畫方向及有效落實：依據中央與地方針對溪口鄉所推動之相關計畫彙整分析後擬定行動策略，並依據行動策略之辦理項目進行分類，以期未來可以針對各行動策略向中央部會進行經費爭取。",102年12月20日~103年12月12日,"950,000","已結案
","勞務委託
"
經濟發展處,嘉義縣竹崎鄉 田園果香●萬果崎發 產業品牌行銷發展計畫,竹崎鄉位居嘉義阿里山交通要衝的優勢地理位置及特色觀光休閒資源，整合在地果農、農產合作組織、觀光休閒產業、社區人文、特色美食..等資源，規劃竹崎成為臺灣（嘉義）優質農特產品的「田園果香」品牌形象，並整合鄰近鄉鎮之番路鄉柿子產業輔導計畫、鳳梨果香休閒產業輔導計畫，以及梅山鄉梅子產業輔導計畫，以「萬果崎發」為品牌行銷推廣發展的主軸，打造嘉義縣山線產業發展亮點鄉鎮，不僅建立「竹崎」產業、商業與觀光的「臺灣（嘉義）優質水果品牌」，更導入在地的感動行銷，營造在地產業就業與居民田園生活、外來遊客體驗感動的田園旅遊幸福感。,102年6月-104年10月,"4,910,000","執行中
","勞務委託
"
經濟發展處,嘉義縣民雄鄉居旅暨果醬產業-醬.匠.將品牌行銷發展計畫,「強化在組織培訓力、產業創新營運推動、發展多元行銷動力、創造有感永續經營」，運用「休閒農業、在地技藝與產經人文」等地方元素，推動民雄鄉特色產業發展。,104年3月-106年10月,"4,950,000","執行中
","勞務委託
"
農業處,「嘉義縣食安大樓營運策略－推動嘉義縣品牌農業未上市農漁畜產品採樣檢驗規劃」委託專業服務,"為利推動食安大樓籌備與營運規劃，委託國立嘉義大學執行推動嘉義縣品牌農業未上市農漁畜產品採樣檢驗規劃，委託工作事項包括：
1.規劃建立未上市農漁畜產品源頭採檢作業，並評估建構檢驗室所需之人力、儀器設備需求，以及未來營運所需經費。
2.規劃食安大樓營運，如何與本縣有機園區、品牌農業認證結合與運作。
3.提供食安大樓農產品行銷處與媽媽烹飪教室之行銷推廣策略及軟硬體需求等建議意見。",103年5月~103年6月," 96,000元 ","已結案
","勞務委託
"
水利處,朴子溪支流排水系統-頭橋排水治理規劃,頭橋排水位於朴子溪華興橋上游右岸?興二號堤防匯入朴子溪。?世界社區位於頭橋工業區東南側，原為朴子溪舊河道所?經，因??變遷改道，故地面高程相對較低，地表高程低於朴子溪10 ?重現期計畫洪水位22.58 公尺，淹水風險極高。民國90 ?9 月16 日納莉颱風及民國98 ?8 月8 日莫?克颱風均造成?世界社區嚴重淹水。嘉義縣政府依據經濟部核定「朴子溪支?排水系統規劃」成果爰辦?「頭橋排水治?計畫」。,102.8.14~104.3.3,"430,000","
執行中
其他補充說明：目前辦理決算作業中","勞務委託
"
水利處,縣管區排外溪洲排水系統規劃檢討,"原核定規劃是以八掌溪50年水位加0.5公尺出水高興建背水方式護岸以銜接八掌溪堤防，中上游以滿足外溪洲排水10年重現期距流量，並達25年重現期距保護標準之護岸考量，即以背水方式興建八掌溪50年重現期距的護岸至20.50公尺，設置蓄(滯)洪池2.4公頃，底部高程為16公尺，以收集地表水，於出口設置自動閘門底部高程標高16公尺，寬5公尺，高1公尺，並設置2cms抽水站，起抽水位標高17公尺，停抽水位標高16.5公尺。
經地方說明會時，民眾一致反對採用背水堤方案，而建議應將滯洪池位置移往下游出口處將水直接抽入八掌溪，並且應設出口閘門，是以為加速本計畫工程之推動，故對背水堤方案重新檢討規劃，以解決水上地區水患問題。",103.11.5-104.11.5,"440,000","
執行中
","勞務委託
"
人事處,人事機構在地方政府發展願景中的積極作為之研究,鼓勵地方治理研究風氣，加強本處與所屬人事機構人事人員與服務機關間垂直與橫向聯繫功能，並提供所需資源與協助,104年1月∼104年9月20日,"地方行政研究中心負擔新臺幣40,000元         本單位負擔60,000元","
執行中
","勞務委託
"
綜合規劃處,102年嘉義縣高齡友善城市推動計畫委託服務案,本報告分成五章。各章內容主要包括：第一章「計畫背景、計畫構想及計畫目標」，說明及描述嘉義縣發展及推動高齡友善城市計畫之背景、計畫構想及計畫目標。第二章為「計畫依據：高齡友善城市相關文獻探討」，討論人口老化、高齡友善城市發展的背景、世界衛生組織高齡友善城市八大面向與指標，以及各國與我國高齡友善城市的經驗，以作為嘉義縣發展高齡友善城市在地指標及行動方案之參考。第三章為「計畫設計、計畫流程」，從需求面與供給面之整合來發展及建構屬於嘉義縣未來的指標與行動方案，並呈現需求面之嘉義縣三鄉鎮長者代表及老人大學長者代表座談與調查問卷的資料。第四章為「102年嘉義縣長者代表的問卷調查結果及分析」。第五章為「102年嘉義縣在地指標建構之建議」，則依據及延續第四章的統計結果，按照國民健康局與世界衛生組織高齡友善城市架構中各面向、各因子及各指標與嘉義縣長者代表意見間的關聯，建構嘉義縣未來發展高齡友善城市的在地初步指標，以作為縣府各相關局處，以及縣府與民間組織、學者專家交換意見與建議討論之基礎。第五章則為本計劃之產出：「嘉義縣高齡友善城市行動計畫及各局處三年指標與行動方案」。,102.5-102.12,"690,000","已結案
","勞務委託
"
綜合規劃處,嘉義縣綜合發展計畫,"嘉義縣自1997 年擬定綜合發展計畫迄今已逾15 年，面對新六都以及經建會提出「國土空間發展策略計畫」的新局勢，以及因應地球暖化與氣候變遷產生的洪旱災害與生態環境破壞、八八水患對嘉義縣帶來的嚴重災情，低碳經濟、綠色生活、綠色城
鄉建設是必須跟上的發展趨勢，兼具農村平原、山地環境特性的嘉義縣在思考新階段的發展構想時，主政者的空間治理計畫與自然環境變化和平共生，勢必成為施政的主軸。嘉義縣西半部為平原地形，屬嘉南平原之一部分，佔全縣面積約42%，面臨台灣
海峽，濱海漁村及農村景色為其特色，其中東石、布袋一帶魚池、鹽田錯落，形成特殊的沿海地區風貌。東半部為丘陵山岳區，地勢高峻，由東向西漸低，佔全縣面積約58%，為阿里山脈系，系出中央山脈，森林，瀑布，奇木為這一帶之風景特色，在東
西二側不同地形景觀及環境條件之下，嘉義縣整體發展應以永續發展為前提，指出縣內各區域發展之定位及方向，並統合府內各部門的空間發展政策，整合提出府內各部門施政的指導綱領；同時亦須回應在新六都地方競爭及國土空間發展策略計畫之指導下，以田園城市為發展主軸的嘉義縣需善用自然人文資源特質，以南部城市區域發展地位、雲嘉南生活圈合作發展及治理模式，擬定嘉義縣綜合發展之新策略計畫。",100.8~103.8,790萬元,"已結案
","勞務委託
"
文化觀光局,民間參與布袋遊艇港ROT案可行性評估計畫,布袋遊艇港為前省府評估最佳遊艇港五個港址之一，並於79年開始投資建設於民國98年正式完工開港，惜於國人海上休閒活動或遊艇活動等尚屬萌芽階段，設施閒置迭有發生，故有以民間參與加速開發之構想。惟民間參與公共建設法係民國92年方俱完備，過往本港雖進行民間招商，然相關基礎之民間參與可行性與興辦事業招商等計畫付之闕如，遂依促參法相關規定，將本港以促參開發之相關基礎研究，公開徵求顧問公司進行土地、法律、市場、財務等各面向之詳細分析。,101年11月∼102年12月,"1,356,700","已結案
","勞務委託
"
文化觀光局,民間參與布袋遊艇港ROT委外營運先期規劃暨招商技術服務評估計畫,本案延續民間參與布袋遊艇港ROT案可行性評估結果，公開徵求顧問公司辦理先期規劃作業，及依相關法令訂定招商文件，並協助辦理招商準備作業、甄審、評決、議約、簽約等作業。,103年5月∼迄今,"1,980,000","
執行中
","勞務委託
"
文化觀光局,嘉義縣東石漁人碼頭BOT及ROT案前置規劃作業計畫,東石漁人碼頭近年來已逐漸成為嘉義縣沿海重要觀光遊憩據點之一，希望在目前已具備良好觀光基礎設施條件下，吸引民間資金投入，在進行必要之整(興)建後，由民間機構進行多元化之經營(例如：投資興建旅館、經營海鮮餐廳、紀念品及農漁特產展售、戲水遊樂設施、觀光漁筏…等)，並善加結合鄰近豐富之觀光遊憩及生態資源，進行遊程整合規劃，以再創遊客人數新高。,101年5月∼103年6月,"1,800,000","已結案
","勞務委託
"
文化觀光局,嘉義縣東石漁人碼頭ROT委託招商案,"本案前已完成可行性評估報告書及先期計畫書，本計畫將依促參法相關規定，辦理後續招商相關作業至廠商簽約完成。
",103年5月∼迄今,"1,992,375","執行中
","勞務委託
"
文化觀光局,「雲嘉南觀光休閒公共自行車租賃系統興辦事業先期規劃計畫」委託專業服務案,"以雲嘉南四縣市公共自行車系統出發，結合區域自行車路網，透過政府與民間之BOT合作模式，共同規劃建立區域自行車系統，計畫內容包括：
（一）整體營運可行性評估計畫；
（二）自動租賃軟體系統規劃；
（三）財務成本分析；
（四）BOT先期計畫。
",102年5月∼103年5月,"970,000","已結案
","勞務委託
"
文化觀光局,「塘湖古道風景區–牛稠溪吊橋」先期評估規劃,調查塘湖古道周邊地形環境並評估吊橋建置之可能性,102年11月∼103年10月,"預算：3,000,000
決標：2,625,000","已結案
","勞務委託
"
文化觀光局,朴子市、太保市整體規劃案,整合朴子市、太保市資源以縣治特區、故宮南院、高鐵、馬稠後工業區為基礎，發展朴子市、太保市整體建設,103年12月∼104年10月,"預算：1,500,000
決標：1,270,000","執行中
","勞務委託
"
文化觀光局,梅山市區遊客中心、轉運站計畫委託規劃案,爭取交通部觀光局「跨域亮點整備計畫」經費,104年,"98,000","
尚在進行研究發展前置作業中（採購簽辦中）
","勞務委託
"
文化觀光局,嘉義縣文化機構設施中長程營運管理委託規劃案,依據「跨域加值公共建設財務規劃方案」整合縣內各地方文化館及文化生活圈,104年3月1日~104年11月30日,"1,900,000",尚在進行研究發展前置作業中（如招標、規劃、研擬等階段）,"勞務委託
"
文化觀光局,嘉義縣微型文化創意園區計畫專業服務團隊委託案,本案計畫串聯嘉義縣文化創意產業上、下游產業鏈，橫向整合各地方特色文創業者，透過園區集中群聚輔導與發展，並結合觀光遊憩與整體行銷，創新改造調整產業結構，厚植文化與創新根基，打造南台灣藝文匯聚重鎮及文化觀光新亮點，提升文化創意產業競爭力。,103年10月27日∼104年4月30日,"95,225","執行中
","勞務委託
"
文化觀光局,嘉義縣國民記憶庫故事蒐錄計畫,本計畫旨在蒐錄本縣庶民生活故事100則。,103年1月13日∼103年11月10日,"578,050",已結案,"勞務委託
"
文化觀光局,嘉義縣103年度表演藝術團隊輔導團隊」委託採購案,藉由階段性的輔導機制，穩定團隊行政營運、提升團隊專業創作潛力，發展地方特色，並向其他縣市或國際推展、促成嘉義縣內團隊互相合作、適性適能發展。,103年8月11日∼104年04月21日,"1,100,000",執行中,"勞務委託
"
文化觀光局,嘉義縣102年度表演藝術團隊輔導團隊」委託採購案,藉由階段性的輔導機制，穩定團隊行政營運、提升團隊專業創作潛力，發展地方特色，並向其他縣市或國際推展、促成嘉義縣內團隊互相合作、適性適能發展。,102年8月11日∼103年04月21日,"970,000",執行中,"勞務委託
"
文化觀光局,阿里山鐵道文化景觀基礎調查研究及保存維護計畫,依據文資法第55條規定擬定阿里山林業暨鐵道文化景觀之保存維護計畫,100年12月∼103年5月,"3,410,000",已結案,"勞務委託
"
文化觀光局,中央廣播電台民雄分台日式招待所ROT案前置規劃作業計畫案,本縣歷史建築中央廣播電台民雄分台日式招待所ROT案之前置規劃作業,101年5月∼102年6月,"1,835,000",已結案,"勞務委託
"
文化觀光局,嘉義縣遺址巡查監管及管理維護計畫勞務委託案,對本縣平原區遺址進行巡查監管，並完成魚寮遺址管理維護計畫。,101年12月∼103年3月,"653,450",已結案,"勞務委託
"
文化觀光局,嘉義縣歷史建築後寮羅氏宗祠修復調查研究案,本縣歷史建築後寮羅氏宗祠之調查研究及修復計畫擬訂,101年5月∼102年3月,"710,500",已結案,"勞務委託
"
文化觀光局,嘉義縣丘陵山地區聚落普查計畫勞務委託案,針對本縣丘陵山地區(中埔鄉、大埔鄉、竹崎鄉、梅山鄉、阿里山鄉、番路鄉)進行聚落普查。,101年7月∼104年1月,"960,000",已結案,"勞務委託
"
文化觀光局,嘉義縣101年度文化資產區域環境保存計畫委託專業服務案成果報告書,本縣朴子市整體文資環境保存及活化規劃,101年9月∼102年4月,"2,000,000",已結案,"勞務委託
"
文化觀光局,嘉義縣山區遺址普查計畫,於本縣山區(阿里山鄉、大埔鄉、梅山鄉、中埔鄉、竹崎鄉、番路鄉)各鄉鎮市進行遺址普查。,101年3月∼102年6月,"755,000",已結案,"勞務委託
"
文化觀光局,過溝建德宮火燈夜巡調查研究暨民俗影像出版計畫,對本縣民俗過溝建德宮火燈夜巡進行調查研究並出版本縣民俗影像專書(,102年5月∼103年11月,"423,500",已結案,"勞務委託
"
文化觀光局,嘉義縣海區傳統藝術普查計畫,於本縣海區(義竹鄉、布袋鎮、朴子市、六腳鄉、鹿草鄉、東石鄉)進行傳統藝術普查,102年5月∼103年1月,"485,000",已結案,"勞務委託
"
文化觀光局,嘉義縣百年廟宇及教堂古物清查計畫案  ,清查本縣百年以上廟宇及教堂之古物,102年5月∼103年2月,"490,000",已結案,"勞務委託
"
文化觀光局,1621開台第一村歷史資源調查計畫 ,顏思齊、鄭芝龍1621年開台史料收集,102年5月∼103年5月,"98,000",已結案,"勞務委託
"
文化觀光局,中央廣播電台民雄分台日式招待所ROT招商執?顧問案 ,本縣歷史建築中央廣播電台民雄分台日式招待所ROT之招商規劃,102年9月∼迄今,"1,730,500",執行中,"勞務委託
"
文化觀光局,國定古蹟新港水仙宮全面損壞調查及修復工程規劃設計案,國定古蹟新港水仙宮之全面性損壞調查及,102年10月∼迄今,"1,400,500",執行中,"勞務委託
"
文化觀光局,嘉義縣102年度文化資產區域環境保存計畫委託專業服務案 ,本縣朴子市整體文資環境保存及活化規劃,102年8月∼ 迄今,"3,500,000",執行中,"勞務委託
"
文化觀光局,歷史建築民雄何元英祠堂調查研究案,本縣歷史建築民雄何元英祠堂之調查研究及修復計畫擬訂,103年5月∼迄今,"750,000",執行中,"勞務委託
"
文化觀光局,103年度嘉義縣世界遺產潛力點推動計畫,辦理世界遺產國際工作坊及撰寫阿里山森林鐵路申遺文本。,103年5月∼迄今,"1,798,500",執行中，預計104年4月結案。,"勞務委託
"
文化觀光局,103年嘉義縣遺址巡查監管及管理維護計畫,對本縣之縣定及重要遺址進行巡查監管，並完成平原區遺址列冊。,103年4月∼迄今,"620,500",執行中，預計104年4月結案。,"勞務委託
"
文化觀光局,嘉義縣一般古物調查研究及修復計畫,對本縣登錄之一般古物進行調查研究並研擬修復計畫,103年8月∼迄今,"445,000",執行中，預計104年5月結案。,"勞務委託
"
文化觀光局,配天宮蔡草如門神彩繪調查研究及修復計畫,對本縣一般古物-配天宮蔡草如門神彩繪進行調查研究並研擬修復計畫。,103年7月∼迄今,"200,000",執行中，預計104年4月結案。,"勞務委託
"
社會局,103年嘉義縣老人生活狀況與福利需求調查研究實施計畫,為蒐集嘉義縣老人之個人狀況、經濟狀況、社會參與及社會支持、福利服務使用與需求、健康、生活自理能力與照顧安排、失能老人的主要照顧者狀況。,103.5-104.5,"800,000","
執行中
","勞務委託
"
社會局,嘉義縣長期照顧與居家服務102年度問卷分析與研發監測系統計畫,為瞭解嘉義縣目前接受長期照顧管理中心服務的老人及50歲以上身心障礙者（50-64歲）對長照中心服務內容之服務成效，及對服務品質的滿意度之研究。,102.12-103.4,"95,443","已結案
","勞務委託
"
社會局,嘉義縣長期照顧居家服務需求調查暨服務發展計畫---東石鄉、鹿草鄉,失能狀況、照顧服務需求與照顧服務人力需求各地有其差異性，故選取東石鄉、鹿草鄉進行普查計畫。,102.11.01-103.8.31,"500,000","已結案
","勞務委託
"
社會局,嘉義縣103年度居家服務使用者滿意度調查,為瞭解嘉義縣目前接受居家服務的老人（65歲以上）及50歲以上身心障礙者（50-64歲）的居家服務需求、服務使用狀況、接受居家服務的滿意度。,103.9-104.2,"300,000","
執行中
","勞務委託
"
社會局,嘉義縣長期照顧與居家服務104年度問卷分析與研發監測系統計畫,研議中,-,-,尚在進行研究發展前置作業中（如招標、規劃、研擬等階段）,"勞務委託
"
社會局,嘉義縣102年度兒童及少年生活狀況與需求調查計畫,針對設籍本縣18鄉鎮市未滿18歲之兒童及少年進行問卷調查，以瞭解本縣兒童及少年生活狀況、福利需求及對現行兒童及少年福利措施與保護措施之瞭解情形，作為本府推動兒童及少年福利政策之重要參考。,102.7-103.6,"748,280","已結案
","勞務委託
"
社會局,嘉義縣性別圖像,將本縣近5-10年性別統計資料做有系統的蒐集、彙整與分類，編製成性別圖像之資料，並加以分析論述，藉由性別圖像的描繪，讓本縣所屬各機關了解與掌握歷年性別圖像的趨勢，作為日後規劃政策、計畫方案的具體依據。,102.8.15-103.4.30,"610,000","已結案
","勞務委託
"
社會局,104年嘉義縣婦女生活狀況與福利需求調查,"針對設籍或實際居住本縣15至64歲女性人口（含女性婚姻新住民）以實地面訪方式進行生活狀況與福利需求問卷調查，以瞭解本縣婦女生活狀況、福利需求及對現行婦女福利措施之認識與使用情形，作為本府推動婦女福利措施規劃之參考及執行依據。
",104.3.6-105.3.5,"748,500","執行中
","勞務委託
"
衛生局,嘉義縣家庭暴力加害人處遇成效之研究：再犯預防取向的介入,隨著家暴防治法的施行，相對人處遇計畫已執行有年，但未進行實徵之成效評估，以作為執行此項政策改善之參考；本計畫以本縣家庭暴力相對人處遇計畫成效進行研究，研究者根據再犯預防理論、團體動力等概念規劃諮商團體方案，並由研究者親自帶領，執行成效評估採取混和研究設計；量化資料依據方案實施前後填寫「衝突處理問卷」進行t檢定，質性資料以相對人參與團體後的逐字稿進行分析。,102.1~102.12,"94,400","已結案
","勞務委託
"
衛生局,嘉義縣性侵害加害人處遇成效：性侵害加害人輔導治療成效評估,為評估本縣性侵害加害人輔導執行成效本研究從三個面向探討：(一)近年來接受本縣衛生局輔導個案再犯情形及行為改變(二)現行社區輔導治療執行與外部監督網絡的合作情形(三)近年來增加經網路與未成年合意性交個案犯行因素探討。,103.1~103.12,"59,400","?已結案
","勞務委託
"
衛生局,嘉義縣家庭暴力加害人處遇成效研究：外籍配偶婚姻暴力之處遇成效,"依據現行家暴防治法，婚姻暴力施暴者經法院裁定後，必須接受強制心理處遇，以矯正其親密暴力的心理與行為。目前接受處遇案主中常見到對外籍配偶施暴的男性；外籍配偶是台灣社會的主要族群之一，由於其在台灣社會經濟弱勢的特殊性，外配婚暴者的處遇服務應有適切的文化考量，同時加以檢視成效。
本研究計畫針對外配婚暴相對人規劃親密關係暴力再犯預防之諮商團體方案；成效評估規劃執行採取混和研究設計，量化資料依據方案實施前後填寫「衝突處理問卷」進行t檢定，質性資料則取自參與團體之後以戒除親密暴行且有意願受訪之相對人及其伴侶個別接受訪談，採敘說研究分析。",103.1~103.12,"39,600","?已結案
","勞務委託
"
衛生局,評估致肥胖環境及其影響因素事項,評估致肥胖環境及其影響因素事項,102.4.15~102.10.30,"80,000","?已結案
","勞務委託
"
衛生局,校園學童肥胖防治、腰圍認知衛教宣導,校園學童肥胖防治、腰圍認知衛教宣導,102.9~102.11,"80,000","?已結案
","勞務委託
"
衛生局,早餐業者餐飲熱量標示輔導,早餐業者餐飲熱量標示輔導,102.7~102.10,"96,000","?已結案
","勞務委託
"
衛生局,嘉義縣成人生活型態與健康結果之關係調查,民眾健康狀況分析,102.4~102.12,"94,255","?已結案
","勞務委託
"
衛生局,嘉義縣身心障礙成人健康需求及健康相關行為與健康狀態之評估,身心障礙民眾健康狀況分析,102.8~102.12,"97,640","?已結案
","勞務委託
"
衛生局,102年衛教主軸宣導成果,衛教主軸宣導成效分析,102.9~102.12,"35,000","?已結案
","勞務委託
"
衛生局,評估致肥胖環境及其影響因素事項,評估致肥胖環境及其影響因素事項,103.8.15~103.10.30,"60,000","?已結案
","勞務委託
"
衛生局,家己人做伙逛台灣,運動盛行率推廣,103.8.1~103.11.28,"99,896","?已結案
","勞務委託
"
衛生局,餐飲熱量標示輔導,餐飲熱量標示輔導,103.5~103.9,"92,000","?已結案
","勞務委託
"
衛生局,嘉義縣身心障礙成人健康需求及健康相關行為與健康狀態之評估,民眾健康狀況分析,103.3~103.12,"98,000","?已結案
","勞務委託
"
衛生局,嘉義縣成年人生活型態與複合式健康篩檢結果之關係調查,民眾健康狀況分析,103.3~103.12,"96,600","?已結案
","勞務委託
"
衛生局,103年衛教主軸宣導成果,衛教主軸宣導成效分析,103.9~103.12,"35,000","?已結案
","勞務委託
"
衛生局,喬裝購菸測試,喬裝測試本縣供應菸品至未滿18歲者之情況,104.3~104.12,"97,000","執行中
","勞務委託
"
衛生局,藝術創作於戒菸班,透過藝術創作了解青少年吸菸問題,104.4~104.12,"99,970","執行中
","勞務委託
"
衛生局,校園周邊餐飲熱量標示輔導,校園周邊餐飲業者熱量標示輔導,104.5~104.9,"90,000","執行中
","勞務委託
"
衛生局,評估致肥胖環境及其影響因素事項,評估致肥胖環境及其影響因素事項,104.7~104.10,"60,000","執行中
","勞務委託
"
衛生局,嘉義縣成年人生活型態與複合式健康篩檢結果之關係調查,民眾健康狀況分析,104.3~104.12,"99,068",執行中,"勞務委託
"
衛生局,嘉義縣十八鄉鎮糖尿病個案足部照護及轉介追蹤之成效探討,為?低嘉義縣地區??病的盛??、截肢?與死亡?，從??病學的疾病自然史之觀點，包含?三段五級的預防策?，從最初段的肥胖預防、二段的早期篩檢、診斷與治?，以及第三段的?健。對於如何預防??病民眾周邊?經血管的早期病變，促進或維持其血液循環與?經傳導功能，是近?來不斷努?尋找的答案。經過初步推動健康促進措施對第二型??病個案之準實驗設計發現，?與實驗組前後一?的社區居民中，在身體質?指?、腰圍、血?、血脂肪與血壓，?呈現統計上有意義的改善，也發現多位個案出現嚴重周邊?經血管病變， 經由本計畫之篩檢與轉介血管重建治?後，這些個案在肢體麻痛感消失、走?能?進步，甚至避免??病足?化及截肢的?可逆結果。, 103.2.1 ~ 103.11.30 ,"99,760","已結案
","勞務委託
"
衛生局,慢性病個案(高血壓、高血脂、高血糖)電話關懷計畫,本計畫希望以較低成本之服務模式，針對本縣之已確立二高或三高診斷民眾且同意接受衛生局電話關懷之民眾為服務對象，提供簡單、方便學習、在家執行的自我照顧方式，期待可以有效減少相關併發症之發生；並在提供電話關懷之同時，提供接受關懷縣民所需之衛生局(所)活動相關訊息。,"102.2.15~102.12.15
103.3.1.~103.12.15","98,805",已結案,"勞務委託
"
衛生局,"社區支持團體
母乳哺育之婦
幼健康促進計
畫
",本計畫期望促進嘉義縣社區母乳支持團體(朴子、水上、竹崎、民雄及大林)中的婦女能更有信心及方法哺育孩童，持續哺餵時間達6個月以上，連結社區中哺乳婦女相互支持與學習，營造親善社區哺乳環境。,104.04.01-104.12.31,"90,000","尚在進行研究發展前置作業中（如招標、規劃、研擬等階段）
","勞務委託
"
衛生局,嘉義縣國中生吸菸行為與藥物濫用認知調查,該計畫係針對本縣國中二年級學生吸菸行為與藥物濫用之認知程度間之關係進行先驅探討，研究發現:藥物濫用認知與菸害認知、吸菸自我效能、及吸菸態度呈現正相關，本縣山區、海區學生藥物濫用認知得分低於平地區。研究建議未來本縣可加強山區與海區學校反毒介入課程，發展適當的成癮物質預防親職教育介入方案，並強化弱勢家庭家長成癮物質預防效能。,102年9月-102年12月,"94,552元","?已結案
","勞務委託
"
衛生局,嘉義縣藥癮者特性與防治策略之研究,以流行病學分析嘉義縣轄內藥癮者、毒品查獲地點及在地資源；分析嘉義縣相關資料以了解轄內各級毒品藥癮者人口特性、分布區域、施用習性、危險因子與保護因子等；盤點在地政府及民間資源並分析其提供服務項目、資源分配狀況與功能等，視研究結果，擬訂可執行之毒品危害防制整體性策略，並發展相關防制方案。,104年4月~104年11月,"98,000",尚在進行研究發展前置作業中（如招標、規劃、研擬等階段）,"勞務委託
"
衛生局,嘉義縣高中職學生藥物濫用認知態度與行為調查計畫,本計畫預計以嘉義縣高中職一年級學生為對象進行「藥物濫用認知態度與行為」調查研究計畫，第一年將以設計問卷進行普查及進行藥物濫用認知教育宣導，並進行問卷分析篩選出認知態度偏差高風險的學生之偏差認知，做為是否進行介入性措施之研究報告。,104年7月-104年12月,"95,000",?尚在進行研究發展前置作業中（如招標、規劃、研擬等階段）,"勞務委託
"
消防局,災害防救深耕第2期計畫,培育鄉(鎮、市、區)公所擁有足夠素養與能力之災害防救專業、專職人員與專責單位，進行相關防救工作的協調、整合、督導與落實，最後使全國災害防救網絡能彼此銜接，並與中央防救主幹體系整合運作，全國整體防救體系與機制的大脈絡也將因而更加強健，而後災害防救構面也將因此更為強化與順暢運作。,103.1~105.12,103(389.4萬)104(410萬)105(456.2萬),執行中,"勞務委託
"
